customer_id,display_name,keywords
6584129a30452d33982f06f8 ,KLM CYBER CAFE ,"[ ""Internet and cafe services "", ""Online cyber cafe "", ""Cyber Cafe near me "", ""Internet access services "", ""Remote work solutions "", ""Online printing services "", ""Internet browsing center "", ""Virtual study space "", ""Printing "", ""Photocopying "", ""Laminating "", ""Printing shop near me "", ""Computer cyber "", ""Computer services "", ""I "
65841f4388dfa52db719dd04 ,Cre8Steve Designs ,"[ ""Canva "", ""Canva Templates "", ""Social Media Templates "", ""Social Media Post for Business Coaches "", ""Business Coach "", ""Getting Clients Online "", ""How to boost my social media "", ""Getting Coaching Clients online "", ""2024 Canva Design Templates "", ""LinkedIn Carousel Template "", ""Instagram Post Ideas "", ""Coaching Template "
65841f8cd10a7e7f7b481508 ,Saeedfatusee digital communication and business center ,"[ ""Durable Cables "", ""Original chargers "", ""Original Cables "", ""Phone Chargers "", ""Powerbanks "", ""Iphone chargers "", ""Samsung chargers "", ""Phone Accessories "", ""Phone store near "", ""Phone shop near me "", ""Durable Cables "", ""Original chargers "", ""Original Cables "", ""Phone Chargers "", ""Powerbanks "", ""Iphone chargers "", ""Samsung charg "
65842427557f8201503e7487 ,NULL,"[ ""Airdrops "", ""Live Price Tracking "", ""Salaam Updates "", ""Price Shifts "", ""Crypto Notifications "", ""News Update "", ""Latest Headlines "", ""Latest Crypto Update "", ""Breaking News "", ""Social Media Headlines "", ""Airdrops "", ""Live Price Tracking "", ""Salaam Updates "", ""Price Shifts "", ""Crypto Notifications "", ""News Update "", ""Latest Head "
658429feb71e9618ab00a1a6 ,Yahcson plumbing work ,"[ ""Plumber near me "", ""Pipe Fitting "", ""Unblock drain "", ""Pipe Replacement "", ""247 Plumbing "", ""Leak Repairs "", ""Plumber Nigeria "", ""Plumbing "", ""Plumber near me "", ""Pipe Fitting "", ""Unblock drain "", ""Pipe Replacement "", ""247 Plumbing "", ""Leak Repairs "", ""Plumber Nigeria "", ""Plumbing ""] "
65842fb3c1ef40712a68c8c6 ,Karucommunication ,"[ ""Grocery store "", ""Provision store near me "", ""Convenience store "", ""Daily needs store "", ""Essential items shop "", ""Mini mart "", ""Local provisions "", ""Neighborhood Market "", ""Local Grocery "", ""Staple goods shop "", ""Provision and Stores "", ""Grocery store "", ""Provision store near me "", ""Convenience store "", ""Daily needs store "", "
6584327c1b5e623b515d03da ,Samry Computer Business Center and Cafe Ribah ,"[ ""Best computer Business Center and CAFE "", ""Computer Business Center "", ""ICT "", ""Cafe "", ""Photocopy "", ""Lamination "", ""Cyber cafe near me "", ""Photocopying services near me "", ""Printing Services near me "", ""Plastic ID "", ""Internet browsing "", ""Best computer Business Center and CAFE "", ""Computer Business Center "", ""ICT "", ""Cafe "
6584372b1ab6855a24115af3 ,Northwind Global Resources ,"[ ""Digital marketing "", ""Branding "", ""Social Media Marketing "", ""Strategic Marketing "", ""Online Marketing "", ""Digital Coaching "", ""Business Coach "", ""Search Engine Marketing "", ""SEO "", ""Digital marketing "", ""Branding "", ""Social Media Marketing "", ""Strategic Marketing "", ""Online Marketing "", ""Digital Coaching "", ""Business Coach "", "" "
6584395c2257ee29395166ab ,MD Communication ,"[ ""Selling Data and Web Design "", ""Web Designers "", ""Web Design "", ""Web Designers Nigeria "", ""Web Development "", ""Graphic Design Nigeria "", ""Graphic Design "", ""Creative Design "", ""Designer "", ""Selling Data and Web Design "", ""Web Designers "", ""Web Design "", ""Web Designers Nigeria "", ""Web Development "", ""Graphic Design Nigeria "", "" "
6584395dbeaa42420e5a28a4 ,440  s HOME of Poultry ,"[ ""Broiler chickens of all kind is available here "", ""Broiler chicken "", ""Broiler chicken Nigeria "", ""Farm Fresh "", ""Egg Farm "", ""Fresh Eggs "", ""Poultry Products "", ""Poultry Farm "", ""440 Poultry "", ""Fresh chickens near me "", ""Fresh fish near me "", ""Fishing farms near me "", ""Chicken farms near me "", ""Best Boiler chicken around "
65843fb84eea557953320cf4 ,Elguyik Computer ,"[ ""Elguyik Computer and and Graphic design "", ""Online branding "", ""Logo creation "", ""Computer graphics design "", ""Digital Design Expertise "", ""Custom graphic solutions "", ""Highquality digital designs "", ""Graphic design consultancy "", ""Graphic Design Services "", ""Logo design near me "", ""Best logo designers "", ""Best graphic "
65844312c19d8b686c52915e ,Targumtamtnstore ,"[ ""Airtime "", ""Data "", ""Graphic design "", ""Network "", ""Floating "", ""Typing "", ""Assisted deposite "", ""Printing "", ""Mobile Data "", ""Aitime top up "", ""Graphic design school near me "", ""Airtime "", ""Data "", ""Graphic design "", ""Network "", ""Floating "", ""Typing "", ""Assisted deposite "", ""Printing "", ""Mobile Data "", ""Aitime top up "", ""Graphic design s "
65844ea8b69f5159d4579937 ,Sanjimmy global investment company ,"[ ""POS Operator "", ""POS Machine Supplier "", ""POS Distributor "", ""POS Training "", ""Reliable POS Services "", ""Topquality POS Machines "", ""Point of Sale machine "", ""Payment Nigeria "", ""Payment systems near me "", ""Point of sale systems near me "", ""Payment system training near me "", ""The best POS training near me "", ""Best qualit "
65846608b7f60b5e21526f08 ,Blitz Stitches ,"[ ""Senator design "", ""Fashion "", ""Ankara design "", ""Males fashion "", ""Males design "", ""Mens Ankara "", ""Male designs "", ""Shirts "", ""Mens shirts "", ""Senator design "", ""Fashion "", ""Ankara design "", ""Males fashion "", ""Males design "", ""Mens Ankara "", ""Male designs "", ""Shirts "", ""Mens shirts ""] "
658548c92bad0a706a79c234 ,DeveHostings ,"[ ""Nigeria "", ""App Development "", ""Android Development "", ""IOS Development "", ""Mobile Application Development "", ""Flutterflow "", ""Flutter App "", ""Dart Programming Language "", ""Nigeria "", ""App Development "", ""Android Development "", ""IOS Development "", ""Mobile Application Development "", ""Flutterflow "", ""Flutter App "", ""Dart Program "
6585496596452f4428122bc8 ,Rainbow foodz and Agro Allied Enterprise ,"[ ""Cassava "", ""Premium Rice "", ""Soya beans supplier "", ""AGRO allied services "", ""Food processing "", ""Local rice distribution "", ""Food manufacturing "", ""Staple food distribution "", ""Bulk food distribution "", ""Local food distribution "", ""Local food distribution services "", ""Food distribution companies near me "", ""Food process "
